Date;Ação;Retorno
2014-02-01;VALE3;-0.15128564749883333
2014-03-01;VALE3;-4.787888549483932
2014-04-01;VALE3;-5.951617551165322
2014-05-01;VALE3;-0.9714025692824424
2014-06-01;VALE3;2.740678254605755
2014-07-01;VALE3;11.320101764955016
2014-08-01;VALE3;-10.291842421412278
2014-09-01;VALE3;-8.047929497825868
2014-10-01;VALE3;-6.8901705052895394
2014-11-01;VALE3;-3.3419554302756116
2014-12-01;VALE3;-5.925277971982568
2015-01-01;VALE3;-15.061633972675814
2015-02-01;VALE3;14.185922352575853
2015-03-01;VALE3;-15.576453613144903
2015-04-01;VALE3;26.254128693117917
2015-05-01;VALE3;-8.543820902599197
2015-06-01;VALE3;-8.77805223438588
2015-07-01;VALE3;-2.2963476915901504
2015-08-01;VALE3;0.2798017716137302
2015-09-01;VALE3;-7.477664820346552
2015-10-01;VALE3;2.895030072078475
2015-11-01;VALE3;-21.25092751534354
2015-12-01;VALE3;-1.0630104174329635
2016-01-01;VALE3;-25.402927557380817
2016-02-01;VALE3;21.502059067727085
2016-03-01;VALE3;28.28111714879975
2016-04-01;VALE3;29.96700001519379
2016-05-01;VALE3;-27.78060734196004
2016-06-01;VALE3;14.416347845016109
2016-07-01;VALE3;13.706206952618905
2016-08-01;VALE3;-8.432439790505908
2016-09-01;VALE3;5.135767876190744
2016-10-01;VALE3;23.975290239949576
2016-11-01;VALE3;27.08333171251862
2016-12-01;VALE3;-8.48182708750873
2017-01-01;VALE3;26.047787069321426
2017-02-01;VALE3;1.6780622399006795
2017-03-01;VALE3;-8.954781871996131
2017-04-01;VALE3;-7.787824139633848
2017-05-01;VALE3;2.2075805601909027
2017-06-01;VALE3;6.735360056368456
2017-07-01;VALE3;7.931048356259174
2017-08-01;VALE3;12.076674300121738
2017-09-01;VALE3;-9.150508157418802
2017-10-01;VALE3;0.721663277042417
2017-11-01;VALE3;9.470421100040216
2017-12-01;VALE3;14.570279747971536
2018-01-01;VALE3;4.055560112004919
2018-02-01;VALE3;8.685168975944357
2018-03-01;VALE3;-6.304095800245801
2018-04-01;VALE3;16.614296826818475
2018-05-01;VALE3;4.027169986620427
2018-06-01;VALE3;-2.0541395741428325
2018-07-01;VALE3;10.586802279368012
2018-08-01;VALE3;-2.224653649385322
2018-09-01;VALE3;14.778463737679793
2018-10-01;VALE3;-5.19890558868743
2018-11-01;VALE3;-6.8947170475136215
2018-12-01;VALE3;-3.4091072789394827
2019-01-01;VALE3;-10.784325567671004
2019-02-01;VALE3;3.516491486927853
2019-03-01;VALE3;8.131618383401618
2019-04-01;VALE3;-1.6296638137233699
2019-05-01;VALE3;-2.195603585843442
2019-06-01;VALE3;5.755071553215174
2019-07-01;VALE3;-3.8788238438770772
2019-08-01;VALE3;-8.512326559313754
2019-09-01;VALE3;4.783854313230207
2019-10-01;VALE3;-1.1518298416284156
2019-11-01;VALE3;5.889803884069744
2019-12-01;VALE3;6.642660374437281
2020-01-01;VALE3;-3.185599177839893
2020-02-01;VALE3;-11.855988586208143
2020-03-01;VALE3;-2.4599157296072427
2020-04-01;VALE3;3.7945241144059505
2020-05-01;VALE3;18.145329558610502
2020-06-01;VALE3;5.509438671168199
2020-07-01;VALE3;8.565832337894609
2020-08-01;VALE3;-1.6965954915212356
2020-09-01;VALE3;-0.9550921969747495
2020-10-01;VALE3;6.718216981663772
2020-11-01;VALE3;28.819168751323264
2020-12-01;VALE3;12.115372905685518
2021-01-01;VALE3;0.5717391476771638
2021-02-01;VALE3;7.470195102761745
2021-03-01;VALE3;3.6500105720078
2021-04-01;VALE3;16.29205005853138
2021-05-01;VALE3;5.283433868801346
2021-06-01;VALE3;-1.3329700523506793
2021-07-01;VALE3;-2.0681716186408683
2021-08-01;VALE3;-9.268128120153897
2021-09-01;VALE3;-22.74016873150432
2021-10-01;VALE3;3.6839591781485215
2021-11-01;VALE3;-2.3181086767473436
2021-12-01;VALE3;12.580408536403741
2022-01-01;VALE3;2.6920726103218273
2022-02-01;VALE3;14.10904171348546
2022-03-01;VALE3;3.5977521210180496
2022-04-01;VALE3;-9.527052538753555
2022-05-01;VALE3;3.505817533235578
2022-06-01;VALE3;-11.193598086440593
2022-07-01;VALE3;-8.894965237460795
2022-08-01;VALE3;-7.5269016741103645
2022-09-01;VALE3;17.478884310692777
2022-10-01;VALE3;-6.8156562224962585
2022-11-01;VALE3;27.677651224501766
2022-12-01;VALE3;3.698494906199312
2023-01-01;VALE3;6.6962985655200535
2023-02-01;VALE3;-9.723836220682113
2023-03-01;VALE3;-5.895450171072114
2023-04-01;VALE3;-7.846574159521335
2023-05-01;VALE3;-11.864646461036553
2023-06-01;VALE3;0.6425287998389706
2023-07-01;VALE3;7.692310898428012
2023-08-01;VALE3;-5.899369498365914
2023-09-01;VALE3;6.974195316925091
2023-10-01;VALE3;2.101207767219493
2023-11-01;VALE3;7.028986707877571
2023-12-01;VALE3;4.536209375345601
2014-02-01;PETR4;-7.551022397780638
2014-03-01;PETR4;16.114794879870196
2014-04-01;PETR4;4.942950628994147
2014-05-01;PETR4;0.7850140652771342
2014-06-01;PETR4;3.594976543199846
2014-07-01;PETR4;10.4684731022465
2014-08-01;PETR4;22.303688491899877
2014-09-01;PETR4;-22.559933640979256
2014-10-01;PETR4;-15.53343643104168
2014-11-01;PETR4;-15.96860361844371
2014-12-01;PETR4;-21.884737301262025
2015-01-01;PETR4;-17.248254053579515
2015-02-01;PETR4;15.060236840729836
2015-03-01;PETR4;1.15184424594994
2015-04-01;PETR4;35.19668799321356
